ChartOfAccounts,GLAccount,GLAccountName,GLAccountGroup,GLAccountType,IsBalanceSheetAccount,ParentAccount
YCOA,260111,Provisao processo consumidor,BAL,X,X,260110
YCOA,260112,Provisao contrato fornecedor,BAL,X,X,260110
YCOA,260113,Provisao licenca ambiental,BAL,X,X,260110
YCOA,260114,Provisao recall produto,BAL,X,X,260110
YCOA,260115,Provisao garantia estendida,BAL,X,X,260110
YCOA,260116,Provisao litigio trabalhista coletivo,BAL,X,X,260110
YCOA,260121,Provisao horas extras,BAL,X,X,260120
YCOA,260122,Provisao insalubridade,BAL,X,X,260120
YCOA,260123,Provisao periculosidade,BAL,X,X,260120
YCOA,260124,Provisao equiparacao salarial,BAL,X,X,260120
YCOA,260125,Provisao adicional noturno,BAL,X,X,260120
YCOA,260126,Provisao verbas rescisorias,BAL,X,X,260120
YCOA,270111,IRPJ diferido passivo,BAL,X,X,270110
YCOA,270112,CSLL diferido passivo,BAL,X,X,270110
YCOA,270113,PIS monofasico passivo,BAL,X,X,270110
YCOA,270114,COFINS monofasico passivo,BAL,X,X,270110
YCOA,270115,IPI diferido passivo,BAL,X,X,270110
YCOA,270116,ajuste laudo big4,BAL,X,X,270110
YCOA,275111,LP veiculos frota,BAL,X,X,275110
YCOA,275112,LP maquinas CNC,BAL,X,X,275110
YCOA,275113,LP predio matriz extensao,BAL,X,X,275110
YCOA,275114,LP datacenter colo,BAL,X,X,275110
YCOA,275115,LP software on prem legado,BAL,X,X,275110
YCOA,275116,ajuste juros contrato LP,BAL,X,X,275110
YCOA,280111,IC payable US10,BAL,X,X,280110
YCOA,280112,IC payable DE10,BAL,X,X,280110
YCOA,280113,IC payable UK01,BAL,X,X,280110
YCOA,280114,IC payable FR01,BAL,X,X,280110
YCOA,280115,IC tax transfer pricing,BAL,X,X,280110
YCOA,280116,IC cash pool sweep,BAL,X,X,280110
YCOA,280121,IC invest eliminacao,BAL,X,X,280120
YCOA,280122,IC dividendos eliminacao,BAL,X,X,280120
YCOA,280123,IC lucro nao realizado estoque,BAL,X,X,280120
YCOA,280124,IC tax equalization,BAL,X,X,280120
YCOA,280125,IC hedge intercompany,BAL,X,X,280120
YCOA,280126,IC ajuste FX eliminacao,BAL,X,X,280120
YCOA,315111,Hedge accounting cash flow,BAL,X,X,315110
YCOA,315112,Hedge accounting fair value,BAL,X,X,315110
YCOA,315113,CVA DVA instrumento,BAL,X,X,315110
YCOA,315114,Basis swap OCI,BAL,X,X,315110
YCOA,315115,ajuste taxa forward,BAL,X,X,315110
YCOA,315116,reciclagem OCI resultado,BAL,X,X,315110
YCOA,320111,Lucro exercicio corrente,BAL,X,X,320110
YCOA,320112,Prejuizo exercicio corrente,BAL,X,X,320110
YCOA,320113,Destinacao reserva expansao,BAL,X,X,320110
YCOA,320114,Destinacao reserva contingencia,BAL,X,X,320110
YCOA,320115,ajuste retroativo política,BAL,X,X,320110
YCOA,320116,ajuste mudanca moeda funcional,BAL,X,X,320110
YCOA,325111,Dividendo proposto trimestre,BAL,X,X,325110
YCOA,325112,JCP proposto trimestre,BAL,X,X,325110
YCOA,325113,Reserva investimento PDI,BAL,X,X,325110
YCOA,325114,Reserva compliance risco,BAL,X,X,325110
YCOA,325115,Reserva ESG,BAL,X,X,325110
YCOA,325116,Reserva M&A alvo,BAL,X,X,325110
YCOA,415111,Pack hardware suporte 36m,REV,P,,415110
YCOA,415112,Bundle cloud camera IOT,REV,P,,415110
YCOA,415113,Contrato EPC manutencao,REV,P,,415110
YCOA,415114,Contrato licenca fonte,REV,P,,415110
YCOA,415115,Cross sell treinamento,REV,P,,415110
YCOA,415116,Upsell warranty premium,REV,P,,415110
YCOA,415121,Instalacao nationwide,REV,P,,415120
YCOA,415122,Manutencao preventiva contrato,REV,P,,415120
YCOA,415123,Manutencao corretiva ticket,REV,P,,415120
YCOA,415124,SLA premium onsite,REV,P,,415120
YCOA,415125,Deslocamento tecnico,REV,P,,415120
YCOA,415126,pecas faturadas separado,REV,P,,415120
YCOA,425111,ARR contrato 12m,REV,P,,425110
YCOA,425112,ARR contrato 36m,REV,P,,425110
YCOA,425113,ARR upsell seats,REV,P,,425110
YCOA,425114,ARR consumo API overage,REV,P,,425110
YCOA,425115,ARR storage dinamico,REV,P,,425110
YCOA,425116,ARR support enterprise,REV,P,,425110
YCOA,425121,PS implementacao fase1,REV,P,,425120
YCOA,425122,PS implementacao fase2,REV,P,,425120
YCOA,425123,PS health check,REV,P,,425120
YCOA,425124,PS managed service 24x7,REV,P,,425120
YCOA,425125,PS custom dev T&M,REV,P,,425120
YCOA,425126,PS treinamento certificacao,REV,P,,425120
YCOA,435111,Resultado positivo equidade,REV,N,,435110
YCOA,435112,Resultado negativo equidade,REV,N,,435110
YCOA,435113,Dividendos recebidos equity,REV,N,,435110
YCOA,435114,ajuste diluicao participacao,REV,N,,435110
YCOA,435115,ajuste conversao debenture,REV,N,,435110
YCOA,435116,ajuste variação just value,REV,N,,435110
YCOA,438111,Aluguel area industrial,REV,P,,438110
YCOA,438112,royalty marca licenciada,REV,P,,438110
YCOA,438113,sub-receita logistica 3PL,REV,P,,438110
YCOA,438114,receita scrap revenda,REV,P,,438110
YCOA,438115,receita energia excedente,REV,P,,438110
YCOA,438116,receita bonus volume fornecedor,REV,P,,438110
YCOA,440111,Devolucao B2B nota credito,REV,P,,440110
YCOA,440112,Devolucao B2C marketplace,REV,P,,440110
YCOA,440113,Devolucao export DI,REV,P,,440110
YCOA,440114,desc comercial incondicional,REV,P,,440110
YCOA,440115,desc volume contrato,REV,P,,440110
YCOA,440116,bonificacao produto marketing,REV,P,,440110
YCOA,440121,Desconto antecipacao duplicata,REV,P,,440120
YCOA,440122,Desconto pix antecipado,REV,P,,440120
YCOA,440123,Desconto cartao antecipado,REV,P,,440120
YCOA,440124,Desconto nota promissoria,REV,P,,440120
YCOA,440125,Desconto early payment supply chain,REV,P,,440120
YCOA,440126,ajuste programa fidelidade,REV,P,,440120
YCOA,450111,Prodepe Pernambuco,REV,N,,450110
YCOA,450112,Lei da Informatica,REV,N,,450110
YCOA,450113,PADIS,REV,N,,450110
YCOA,450114,REPORTO,REV,N,,450110
YCOA,450115,ZPE exportacao,REV,N,,450110
YCOA,450116,subvencao pesquisa ANEEL,REV,N,,450110
YCOA,515111,CIP polimeros planta A,MAT,P,,515110
YCOA,515112,CIP metalurgia planta B,MAT,P,,515110
YCOA,515113,CIP subconjunto importado,MAT,P,,515110
YCOA,515114,CIP embalagem copack,MAT,P,,515110
YCOA,515115,CIP energia alocada OP,MAT,P,,515110
YCOA,515116,CIP manutencao OP,MAT,P,,515110
YCOA,515121,CIP mao obra temp agencia,EXP,P,,515120
YCOA,515122,CIP hora tecnica parceiro,EXP,P,,515120
YCOA,515123,CIP turno extra OP,EXP,P,,515120
YCOA,515124,CIP treinamento linha,EXP,P,,515120
YCOA,515125,CIP setup troca molde,EXP,P,,515120
YCOA,515126,CIP inspecao qualidade inline,EXP,P,,515120
YCOA,515131,CIP depreciacao OP,EXP,P,,515130
YCOA,515132,CIP aluguel galpao OP,EXP,P,,515130
YCOA,515133,CIP supervisor fabrica,EXP,P,,515130
YCOA,515134,CIP seguro patrimonio OP,EXP,P,,515130
YCOA,515135,CIP utilidades OP,EXP,P,,515130
YCOA,515136,CIP consumiveis OP,EXP,P,,515130
YCOA,522111,Infra customer tenant,EXP,P,,522110
YCOA,522112,DBaaS custo repassado,EXP,P,,522110
YCOA,522113,Observability custo client,EXP,P,,522110
YCOA,522114,Kubernetes shared cost,EXP,P,,522110
YCOA,522115,CDN traffic burst,EXP,P,,522110
YCOA,522116,Support L3 billable,EXP,P,,522110
YCOA,535111,Reposicao peca garantia,EXP,P,,535110
YCOA,535112,Mao obra campo garantia,EXP,P,,535110
YCOA,535113,Frete RMA cliente,EXP,P,,535110
YCOA,535114,Call center warranty,EXP,P,,535110
YCOA,535115,Software patch OTA,EXP,P,,535110
YCOA,535116,Campanha recall fornecedor,EXP,P,,535110
YCOA,540111,ICMS saida interestadual,EXP,P,,540110
YCOA,540112,ICMS ST saida,EXP,P,,540110
YCOA,540113,PIS faturamento,EXP,P,,540110
YCOA,540114,COFINS faturamento,EXP,P,,540110
YCOA,540115,IPI industrial,EXP,P,,540110
YCOA,540116,ISS servico field,EXP,P,,540110
YCOA,550111,Quebra ciclico contagens,EXP,P,,550110
YCOA,550112,Avaria umidade,EXP,P,,550110
YCOA,550113,Avaria transporte obsolescencia,EXP,P,,550110
YCOA,550114,furto seguranca,EXP,P,,550110
YCOA,550115,Shrinkage RFID delta,EXP,P,,550110
YCOA,550116,ajuizamento recuperacao,EXP,P,,550110
YCOA,560111,Equipamento producao APC,EXP,P,,560110
YCOA,560112,Predio fabrica florestal,EXP,P,,560110
YCOA,560113,Veiculos internos planta,EXP,P,,560110
YCOA,560114,RC operacional LINHA,EXP,P,,560110
YCOA,560115,risco ambiental tac,EXP,P,,560110
YCOA,560116,interrupcao BI,EXP,P,,560110
YCOA,612111,Vale refeicao,EXP,P,,612110
YCOA,612112,Vale alimentacao,EXP,P,,612110
YCOA,612113,Vale transporte,EXP,P,,612110
YCOA,612114,Auxilio creche,EXP,P,,612110
YCOA,612115,Auxilio farmacia,EXP,P,,612110
YCOA,612116,reembolso home office utility,EXP,P,,612110
YCOA,615111,MBA parceria,EXP,P,,615110
YCOA,615112,Certificacao cloud,EXP,P,,615110
YCOA,615113,Bootcamp dados,EXP,P,,615110
YCOA,615114,Palestrante externo,EXP,P,,615110
YCOA,615115,Plataforma e-learning Seats,EXP,P,,615110
YCOA,615116,livros e periodicos especializacao,EXP,P,,615110
YCOA,617111,Plano empresarial nivel1,EXP,P,,617110
YCOA,617112,nivel premium executivos,EXP,P,,617110
YCOA,617113,Odonto basico,EXP,P,,617110
YCOA,617114,reembolso psicologia,EXP,P,,617110
YCOA,617115,reembolso nutricionista,EXP,P,,617110
YCOA,617116,telemedicina assinatura,EXP,P,,617110
YCOA,618111,PGBL patrocinado empresa,EXP,P,,618110
YCOA,618112,Stock options expense,EXP,P,,618110
YCOA,618113,Bonus anual provisionado,EXP,P,,618110
YCOA,618114,PLR participacao,EXP,P,,618110
YCOA,618115,Bônio meta sustentabilidade,EXP,P,,618110
YCOA,618116,comissao tecnica engenharia,EXP,P,,618110
YCOA,622111,D&O diretores,EXP,P,,622110
YCOA,622112,E&O servico profissional,EXP,P,,622110
YCOA,622113,RC produto export,EXP,P,,622110
YCOA,622114,Cyber insurance policy,EXP,P,,622110
YCOA,622115,All risk escritorio,EXP,P,,622110
YCOA,622116,Marine cargo import,EXP,P,,622110
YCOA,624111,Passagem aerea nacional,EXP,P,,624110
YCOA,624112,Passagem internacional,EXP,P,,624110
YCOA,624113,Hotel booking corporate,EXP,P,,624110
YCOA,624114,Uber corporativo,EXP,P,,624110
YCOA,624115,Diarias per diem USD,EXP,P,,624110
YCOA,624116,bagagem despachada policy,EXP,P,,624110
YCOA,625111,Papel e toner,EXP,P,,625110
YCOA,625112,Material higiene,EXP,P,,625110
YCOA,625113,Correios SEDEX,EXP,P,,625110
YCOA,625114,Courier internacional DHL,EXP,P,,625110
YCOA,625115,Material treinamento impresso,EXP,P,,625110
YCOA,625116,suprimentos cozinha,EXP,P,,625110
YCOA,626111,Manut elevador predio,EXP,P,,626110
YCOA,626112,Manut HVAC chiller,EXP,P,,626110
YCOA,626113,Dedetizacao contrato,EXP,P,,626110
YCOA,626114,Paisagismo condomino,EXP,P,,626110
YCOA,626115,Chaveiro e copias,EXP,P,,626110
YCOA,626116,limpeza terceirizada noturna,EXP,P,,626110
YCOA,632111,SIEM cloud licenca,EXP,P,,632110
YCOA,632112,SOC 24x7 terceiro,EXP,P,,632110
YCOA,632113,Bug bounty programa,EXP,P,,632110
YCOA,632114,Pentest anual,EXP,P,,632110
YCOA,632115,WAF CDN rules,EXP,P,,632110
YCOA,632116,MDM endpoint protection,EXP,P,,632110
YCOA,634111,Snowflake compute,EXP,P,,634110
YCOA,634112,Databricks jobs,EXP,P,,634110
YCOA,634113,dbt cloud seats,EXP,P,,634110
YCOA,634114,ETL Fivetran conectores,EXP,P,,634110
YCOA,634115,Catalogo coluna lineage,EXP,P,,634110
YCOA,634116,ML feature store horas,EXP,P,,634110
YCOA,642111,Google Ads search,EXP,P,,642110
YCOA,642112,Meta ads conversao,EXP,P,,642110
YCOA,642113,LinkedIn demand gen,EXP,P,,642110
YCOA,642114,Programatica display,EXP,P,,642110
YCOA,642115,afiliados CPA,EXP,P,,642110
YCOA,642116,influencer midia paga,EXP,P,,642110
YCOA,645111,Patrocinio esporte local,EXP,P,,645110
YCOA,645112,Patrocinio festival cultura,EXP,P,,645110
YCOA,645113,Merchandise corporativo,EXP,P,,645110
YCOA,645114,DOOH aeroporto,EXP,P,,645110
YCOA,645115,documentario marca,EXP,P,,645110
YCOA,645116,stand feira internacional,EXP,P,,645110
YCOA,652111,Display gondola,EXP,P,,652110
YCOA,652112,degustacao loja,EXP,P,,652110
YCOA,652113,promotor PDV temporada,EXP,P,,652110
YCOA,652114,gift card campanha,EXP,P,,652110
YCOA,652115,material POP loja,EXP,P,,652110
YCOA,652116,mystery shopper programa,EXP,P,,652110
YCOA,655111,NPS transactional survey,EXP,P,,655110
YCOA,655112,Painel usuarios SaaS deep interview,EXP,P,,655110
YCOA,655113,benchmark precos mystery,EXP,P,,655110
YCOA,655114,voc painel distribuidor,EXP,P,,655110
YCOA,655115,research UX novo app,EXP,P,,655110
YCOA,655116,pricing research Van Westendorp,EXP,P,,655110
YCOA,662111,BPO accounts payable,EXP,P,,662110
YCOA,662112,BPO payroll,EXP,P,,662110
YCOA,662113,BPO benefits admin,EXP,P,,662110
YCOA,662114,SSC travel desk outsourced,EXP,P,,662110
YCOA,662115,SSC helpdesk RH tier1,EXP,P,,662110
YCOA,662116,knowledge base atualizacao externa,EXP,P,,662110
YCOA,665111,Study transfer pricing,EXP,P,,665110
YCOA,665112,Local file elaboracao,EXP,P,,665110
YCOA,665113,CBCR masterfile,EXP,P,,665110
YCOA,665114,APA precos,EXP,P,,665110
YCOA,665115,benchmark TNMM,EXP,P,,665110
YCOA,665116,litigio fiscal consultoria externa,EXP,P,,665110
YCOA,668111,Seguro duplicata,EXP,P,,668110
YCOA,668112,Seguro garantia LIC,EXP,P,,668110
YCOA,668113,Titulos aval,EXP,P,,668110
YCOA,668114,Fiança bancaria contrato,EXP,P,,668110
YCOA,668115,Protesto cartorio taxa,EXP,P,,668110
YCOA,668116,spread antecipacao fato,EXP,P,,668110
YCOA,670111,Deprec edificio admin,EXP,P,,670110
YCOA,670112,Deprec maquinas,EXP,P,,670110
YCOA,670113,Deprec veiculos,EXP,P,,670110
YCOA,670114,Deprec mobiliario,EXP,P,,670110
YCOA,670115,Amort intangivel software,EXP,P,,670110
YCOA,670116,Amort intangivel marca,EXP,P,,670110
YCOA,675111,Curto prazo escritorios,EXP,P,,675110
YCOA,675112,LP predio matriz,EXP,P,,675110
YCOA,675113,LP veiculos frota,EXP,P,,675110
YCOA,675114,LP maquinas sale leaseback,EXP,P,,675110
YCOA,675115,LP datacenter,EXP,P,,675110
YCOA,675116,taxa implicita ajuste,EXP,P,,675110
YCOA,680111,Juros emprestimo CP,EXP,N,,680110
YCOA,680112,Juros emprestimo LP,EXP,N,,680110
YCOA,680113,IOF credito,EXP,N,,680110
YCOA,680114,Desconto duplicata,EXP,N,,680110
YCOA,680115,Tarifa bancaria internacional,EXP,N,,680110
YCOA,680116,CMF spread linha,EXP,N,,680110
YCOA,685111,Variacao monetaria ativa,EXP,N,,685110
YCOA,685112,Variacao monetaria passiva,EXP,N,,685110
YCOA,685113,PCC taxa legal,EXP,N,,685110
YCOA,685114,ajuste indexador contrato,EXP,N,,685110
YCOA,685115,ajuste contrato moeda FX,EXP,N,,685110
YCOA,685116,permuta ativo financeiro,EXP,N,,685110
YCOA,690111,IRPJ lucro real,EXP,N,,690110
YCOA,690112,CSLL lucro real,EXP,N,,690110
YCOA,690113,Adicional IRPJ,EXP,N,,690110
YCOA,690114,IRPJ estimativa,EXP,N,,690110
YCOA,690115,CSLL estimativa,EXP,N,,690110
YCOA,690116,ajuste Malha eCAC,EXP,N,,690110
YCOA,692111,PARCS federal,EXP,N,,692110
YCOA,692112,PARCS estadual,EXP,N,,692110
YCOA,692113,Multa INSS atraso,EXP,N,,692110
YCOA,692114,Multa FGTS,EXP,N,,692110
YCOA,692115,Juros SELIC parcelamento,EXP,N,,692110
YCOA,692116,honorarios adv fiscal,EXP,N,,692110
YCOA,695111,Multa ambiental nova,EXP,N,,695110
YCOA,695112,multa CVM insider,EXP,N,,695110
YCOA,695113,multa LGPD,EXP,N,,695110
YCOA,695114,dacao fundacao,EXP,N,,695110
YCOA,695115,Doacoes politica proibidas ajuste,EXP,N,,695110
YCOA,695116,perda alienacao equipamento NBV,EXP,N,,695110
