Client,ProductType,ProductTypeName,Language,MaterialTypeCategory,IndustrySector,MaterialTypeRefProductType,NumberRangeGroup,ExternalNumberRangeIsAllowed,InternalNumberRangeIsAllowed,QuantityIsUpdated,ValueIsUpdated,BatchManagementIsRequired,SplitValuationIsAllowed,NegativeStocksAreAllowed,MaterialLedgerIsActivated,PriceControl,AccountCategoryReference,SerialNumberProfile,DefaultUnitOfMeasure,ProductGroup,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,IsMarkedForDeletion
100,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,X,,,X,V,0004,SER1,EA,Z002,CB9980520010,20210918,CB9980520020,20251201,
200,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MM_CUSTOM,20221019,MM_CUSTOM,20230102,
300,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20231120,MDG_BATCH,20240203,
400,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,EA,ZMAT,CB9980520010,20241221,CB9980520020,20250304,
510,FERT,Finished Product,E,01,M,,01,,X,X,X,,X,,X,V,0001,SER1,EA,Z001,MM_CUSTOM,20180122,MM_CUSTOM,20230405,
600,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,S,0002,ZSER,M,Z002,MDG_BATCH,20190223,MDG_BATCH,20240506,
700,ROH,Raw Material,D,03,M,,03,X,X,X,X,,X,,X,V,0003,,G,Z030,CB9980520010,20200324,CB9980520020,20250607,
812,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,,,,X,V,0004,,EA,Z002,MM_CUSTOM,20210425,MM_CUSTOM,20230708,
100,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MDG_BATCH,20220526,MDG_BATCH,20240809,
200,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230627,CB9980520020,20250910,
300,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,,EA,ZMAT,MM_CUSTOM,20240701,MM_CUSTOM,20231011,
400,FERT,Finished Product,F,01,M,,01,,X,X,X,,X,,X,V,0001,,PC,Z001,MDG_BATCH,20180802,MDG_BATCH,20241112,
510,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,,KG,Z002,CB9980520010,20190903,CB9980520020,20251213,
600,ROH,Raw Material,P,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,ZMAT,MM_CUSTOM,20201004,MM_CUSTOM,20230114,
700,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,PC,Z001,MDG_BATCH,20211105,MDG_BATCH,20240215,
812,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,EA,Z010,CB9980520010,20221206,CB9980520020,20250316,
100,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230107,MM_CUSTOM,20230417,
200,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,EA,ZMAT,MDG_BATCH,20240208,MDG_BATCH,20240518,
300,FERT,Finished Product,D,01,M,,01,,X,X,X,X,X,,X,V,0001,ZSER,EA,Z010,CB9980520010,20180309,CB9980520020,20250619,
400,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,SER1,KG,ZMAT,MM_CUSTOM,20190410,MM_CUSTOM,20230720,
510,ROH,Raw Material,E,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,Z030,MDG_BATCH,20200511,MDG_BATCH,20240821,
600,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,EA,Z002,CB9980520010,20210612,CB9980520020,20250922,
700,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,PC,Z010,MM_CUSTOM,20220713,MM_CUSTOM,20231023,
812,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230814,MDG_BATCH,20241124,
100,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,PC,Z001,CB9980520010,20240915,CB9980520020,20251225,
200,FERT,Finished Product,P,01,M,,01,,X,X,X,X,X,,X,V,0001,SER1,CS,Z001,MM_CUSTOM,20181016,MM_CUSTOM,20230126,
300,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,SER1,EA,Z020,MDG_BATCH,20191117,MDG_BATCH,20240227,
400,ROH,Raw Material,F,03,M,,03,X,X,X,X,,X,,X,V,0003,,M,Z030,CB9980520010,20201218,CB9980520020,20250301,
510,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,,,,X,V,0004,,PC,Z002,MM_CUSTOM,20210119,MM_CUSTOM,20230402,
600,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MDG_BATCH,20220220,MDG_BATCH,20240503,
700,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230321,CB9980520020,20250604,
812,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,ZMAT,MM_CUSTOM,20240422,MM_CUSTOM,20230705,
100,FERT,Finished Product,E,01,M,,01,,X,X,X,,X,,X,S,0001,ZSER,CS,Z001,MDG_BATCH,20180523,MDG_BATCH,20240806,
200,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,ZSER,EA,Z020,CB9980520010,20190624,CB9980520020,20250907,
300,ROH,Raw Material,D,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,Z020,MM_CUSTOM,20200725,MM_CUSTOM,20231008,
400,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,X,,X,X,V,0004,,PC,Z010,MDG_BATCH,20210826,MDG_BATCH,20241109,
510,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,PC,Z001,CB9980520010,20220927,CB9980520020,20251210,
600,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20231001,MM_CUSTOM,20230111,
700,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,EA,Z002,MDG_BATCH,20241102,MDG_BATCH,20240212,
812,FERT,Finished Product,F,01,M,,01,,X,X,X,X,X,,X,S,0001,ZSER,CS,Z010,CB9980520010,20181203,CB9980520020,20250313,
100,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,ZSER,KG,ZMAT,MM_CUSTOM,20190104,MM_CUSTOM,20230414,
200,ROH,Raw Material,P,03,M,,03,X,X,X,X,,X,,X,V,0003,,M,ZMAT,MDG_BATCH,20200205,MDG_BATCH,20240515,
300,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,,,,X,V,0004,,EA,Z010,CB9980520010,20210306,CB9980520020,20250616,
400,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,MM_CUSTOM,20220407,MM_CUSTOM,20230717,
510,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230508,MDG_BATCH,20240818,
600,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,EA,ZMAT,CB9980520010,20240609,CB9980520020,20250919,
700,FERT,Finished Product,D,01,M,,01,,X,X,X,X,X,,X,V,0001,,CS,Z001,MM_CUSTOM,20180710,MM_CUSTOM,20231020,
812,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,SER1,KG,ZMAT,MDG_BATCH,20190811,MDG_BATCH,20241121,
100,ROH,Raw Material,E,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,ZMAT,CB9980520010,20200912,CB9980520020,20251222,
200,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,X,,,X,V,0004,SER1,PC,Z010,MM_CUSTOM,20211013,MM_CUSTOM,20230123,
300,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MDG_BATCH,20221114,MDG_BATCH,20240224,
400,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20231215,CB9980520020,20250325,
510,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,EA,Z002,MM_CUSTOM,20240116,MM_CUSTOM,20230426,
600,FERT,Finished Product,P,01,M,,01,,X,X,X,,X,,X,S,0001,SER1,PC,Z001,MDG_BATCH,20180217,MDG_BATCH,20240527,
700,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,,X,,X,V,0002,,EA,Z020,CB9980520010,20190318,CB9980520020,20250601,
812,ROH,Raw Material,F,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,ZMAT,MM_CUSTOM,20200419,MM_CUSTOM,20230702,
100,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,X,,,X,V,0004,SER1,EA,Z010,MDG_BATCH,20210520,MDG_BATCH,20240803,
200,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,PC,Z001,CB9980520010,20220621,CB9980520020,20250904,
300,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230722,MM_CUSTOM,20231005,
400,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,EA,Z001,MDG_BATCH,20240823,MDG_BATCH,20241106,
510,FERT,Finished Product,E,01,M,,01,,X,X,X,X,X,,X,S,0001,SER1,PC,Z010,CB9980520010,20180924,CB9980520020,20251207,
600,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,S,0002,ZSER,KG,Z020,MM_CUSTOM,20191025,MM_CUSTOM,20230108,
700,ROH,Raw Material,D,03,M,,03,X,X,X,X,,X,,X,V,0003,,L,Z020,MDG_BATCH,20201126,MDG_BATCH,20240209,
812,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,X,,,X,V,0004,,PC,Z010,CB9980520010,20211227,CB9980520020,20250310,
100,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,MM_CUSTOM,20220101,MM_CUSTOM,20230411,
200,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230202,MDG_BATCH,20240512,
300,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,PC,ZMAT,CB9980520010,20240303,CB9980520020,20250613,
400,FERT,Finished Product,F,01,M,,01,,X,X,X,,X,,X,S,0001,SER1,PC,Z001,MM_CUSTOM,20180404,MM_CUSTOM,20230714,
510,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,,X,,X,V,0002,ZSER,KG,Z002,MDG_BATCH,20190505,MDG_BATCH,20240815,
600,ROH,Raw Material,P,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,Z020,CB9980520010,20200606,CB9980520020,20250916,
700,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,X,,,X,V,0004,SER1,EA,Z002,MM_CUSTOM,20210707,MM_CUSTOM,20231017,
812,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MDG_BATCH,20220808,MDG_BATCH,20241118,
100,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230909,CB9980520020,20251219,
200,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,PC,Z001,MM_CUSTOM,20241010,MM_CUSTOM,20230120,
300,FERT,Finished Product,D,01,M,,01,,X,X,X,,X,,X,V,0001,,EA,Z001,MDG_BATCH,20181111,MDG_BATCH,20240221,
400,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,,M,ZMAT,CB9980520010,20191212,CB9980520020,20250322,
510,ROH,Raw Material,E,03,M,,03,X,X,X,X,X,X,,X,V,0003,,M,Z030,MM_CUSTOM,20200113,MM_CUSTOM,20230423,
600,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,,,X,X,V,0004,SER1,EA,Z010,MDG_BATCH,20210214,MDG_BATCH,20240524,
700,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,PC,Z010,CB9980520010,20220315,CB9980520020,20250625,
812,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230416,MM_CUSTOM,20230726,
100,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,PC,Z002,MDG_BATCH,20240517,MDG_BATCH,20240827,
200,FERT,Finished Product,P,01,M,,01,,X,X,X,X,X,,X,S,0001,ZSER,PC,ZMAT,CB9980520010,20180618,CB9980520020,20250901,
300,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,,X,,X,S,0002,ZSER,EA,Z020,MM_CUSTOM,20190719,MM_CUSTOM,20231002,
400,ROH,Raw Material,F,03,M,,03,X,X,X,X,,X,,X,V,0003,,L,ZMAT,MDG_BATCH,20200820,MDG_BATCH,20241103,
510,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,PC,Z002,CB9980520010,20210921,CB9980520020,20251204,
600,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MM_CUSTOM,20221022,MM_CUSTOM,20230105,
700,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20231123,MDG_BATCH,20240206,
812,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,EA,Z001,CB9980520010,20241224,CB9980520020,20250307,
100,FERT,Finished Product,E,01,M,,01,,X,X,X,X,X,,X,S,0001,ZSER,CS,Z010,MM_CUSTOM,20180125,MM_CUSTOM,20230408,
200,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,V,0002,SER1,EA,Z020,MDG_BATCH,20190226,MDG_BATCH,20240509,
300,ROH,Raw Material,D,03,M,,03,X,X,X,X,X,X,,X,V,0003,,G,Z020,CB9980520010,20200327,CB9980520020,20250610,
400,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,EA,Z002,MM_CUSTOM,20210401,MM_CUSTOM,20230711,
510,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MDG_BATCH,20220502,MDG_BATCH,20240812,
600,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230603,CB9980520020,20250913,
700,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,EA,ZMAT,MM_CUSTOM,20240704,MM_CUSTOM,20231014,
812,FERT,Finished Product,F,01,M,,01,,X,X,X,X,X,,X,S,0001,ZSER,PC,Z010,MDG_BATCH,20180805,MDG_BATCH,20241115,
100,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,ZSER,EA,ZMAT,CB9980520010,20190906,CB9980520020,20251216,
200,ROH,Raw Material,P,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,Z030,MM_CUSTOM,20201007,MM_CUSTOM,20230117,
300,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,,,X,X,V,0004,SER1,PC,Z001,MDG_BATCH,20211108,MDG_BATCH,20240218,
400,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,PC,Z001,CB9980520010,20221209,CB9980520020,20250319,
510,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230110,MM_CUSTOM,20230420,
600,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,PC,Z001,MDG_BATCH,20240211,MDG_BATCH,20240521,
700,FERT,Finished Product,D,01,M,,01,,X,X,X,X,X,,X,V,0001,,PC,ZMAT,CB9980520010,20180312,CB9980520020,20250622,
812,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,,X,,X,V,0002,,EA,ZMAT,MM_CUSTOM,20190413,MM_CUSTOM,20230723,
100,ROH,Raw Material,E,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,Z030,MDG_BATCH,20200514,MDG_BATCH,20240824,
200,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,,,,X,V,0004,,PC,Z001,CB9980520010,20210615,CB9980520020,20250925,
300,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MM_CUSTOM,20220716,MM_CUSTOM,20231026,
400,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230817,MDG_BATCH,20241127,
510,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,ZMAT,CB9980520010,20240918,CB9980520020,20251201,
600,FERT,Finished Product,P,01,M,,01,,X,X,X,,X,,X,S,0001,ZSER,CS,ZMAT,MM_CUSTOM,20181019,MM_CUSTOM,20230102,
700,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,SER1,KG,Z002,MDG_BATCH,20191120,MDG_BATCH,20240203,
812,ROH,Raw Material,F,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,Z020,CB9980520010,20201221,CB9980520020,20250304,
100,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,X,,,X,V,0004,,PC,Z002,MM_CUSTOM,20210122,MM_CUSTOM,20230405,
200,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,MDG_BATCH,20220223,MDG_BATCH,20240506,
300,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230324,CB9980520020,20250607,
400,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,PC,Z002,MM_CUSTOM,20240425,MM_CUSTOM,20230708,
510,FERT,Finished Product,E,01,M,,01,,X,X,X,X,X,,X,S,0001,SER1,PC,Z001,MDG_BATCH,20180526,MDG_BATCH,20240809,
600,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,V,0002,ZSER,KG,ZMAT,CB9980520010,20190627,CB9980520020,20250910,
700,ROH,Raw Material,D,03,M,,03,X,X,X,X,X,X,,X,V,0003,,G,Z020,MM_CUSTOM,20200701,MM_CUSTOM,20231011,
812,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,X,,,X,V,0004,SER1,EA,Z002,MDG_BATCH,20210802,MDG_BATCH,20241112,
100,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,CB9980520010,20220903,CB9980520020,20251213,
200,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20231004,MM_CUSTOM,20230114,
300,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,EA,Z001,MDG_BATCH,20241105,MDG_BATCH,20240215,
400,FERT,Finished Product,F,01,M,,01,,X,X,X,X,X,,X,V,0001,SER1,EA,Z001,CB9980520010,20181206,CB9980520020,20250316,
510,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,,X,,X,V,0002,SER1,M,ZMAT,MM_CUSTOM,20190107,MM_CUSTOM,20230417,
600,ROH,Raw Material,P,03,M,,03,X,X,X,X,,X,,X,V,0003,,KG,Z030,MDG_BATCH,20200208,MDG_BATCH,20240518,
700,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,X,,,X,V,0004,,PC,Z001,CB9980520010,20210309,CB9980520020,20250619,
812,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,MM_CUSTOM,20220410,MM_CUSTOM,20230720,
100,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230511,MDG_BATCH,20240821,
200,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,PC,Z002,CB9980520010,20240612,CB9980520020,20250922,
300,FERT,Finished Product,D,01,M,,01,,X,X,X,X,X,,X,V,0001,ZSER,CS,Z001,MM_CUSTOM,20180713,MM_CUSTOM,20231023,
400,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,SER1,KG,Z020,MDG_BATCH,20190814,MDG_BATCH,20241124,
510,ROH,Raw Material,E,03,M,,03,X,X,X,X,,X,,X,V,0003,,M,ZMAT,CB9980520010,20200915,CB9980520020,20251225,
600,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,PC,Z010,MM_CUSTOM,20211016,MM_CUSTOM,20230126,
700,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,MDG_BATCH,20221117,MDG_BATCH,20240227,
812,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20231218,CB9980520020,20250301,
100,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,ZMAT,MM_CUSTOM,20240119,MM_CUSTOM,20230402,
200,FERT,Finished Product,P,01,M,,01,,X,X,X,,X,,X,V,0001,ZSER,EA,ZMAT,MDG_BATCH,20180220,MDG_BATCH,20240503,
300,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,,X,,X,V,0002,SER1,M,Z002,CB9980520010,20190321,CB9980520020,20250604,
400,ROH,Raw Material,F,03,M,,03,X,X,X,X,,X,,X,V,0003,,M,ZMAT,MM_CUSTOM,20200422,MM_CUSTOM,20230705,
510,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,,,,X,V,0004,,PC,Z010,MDG_BATCH,20210523,MDG_BATCH,20240806,
600,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,PC,Z010,CB9980520010,20220624,CB9980520020,20250907,
700,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230725,MM_CUSTOM,20231008,
812,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,EA,Z001,MDG_BATCH,20240826,MDG_BATCH,20241109,
100,FERT,Finished Product,E,01,M,,01,,X,X,X,,X,,X,V,0001,ZSER,EA,Z001,CB9980520010,20180927,CB9980520020,20251210,
200,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,,M,Z002,MM_CUSTOM,20191001,MM_CUSTOM,20230111,
300,ROH,Raw Material,D,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,Z020,MDG_BATCH,20201102,MDG_BATCH,20240212,
400,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,PC,Z002,CB9980520010,20211203,CB9980520020,20250313,
510,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,PC,ZSRV,MM_CUSTOM,20220104,MM_CUSTOM,20230414,
600,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230205,MDG_BATCH,20240515,
700,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,Z001,CB9980520010,20240306,CB9980520020,20250616,
812,FERT,Finished Product,F,01,M,,01,,X,X,X,X,X,,X,V,0001,ZSER,CS,ZMAT,MM_CUSTOM,20180407,MM_CUSTOM,20230717,
100,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,,KG,ZMAT,MDG_BATCH,20190508,MDG_BATCH,20240818,
200,ROH,Raw Material,P,03,M,,03,X,X,X,X,X,X,,X,V,0003,,M,ZMAT,CB9980520010,20200609,CB9980520020,20250919,
300,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,PC,Z001,MM_CUSTOM,20210710,MM_CUSTOM,20231020,
400,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,MDG_BATCH,20220811,MDG_BATCH,20241121,
510,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230912,CB9980520020,20251222,
600,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,PC,Z001,MM_CUSTOM,20241013,MM_CUSTOM,20230123,
700,FERT,Finished Product,D,01,M,,01,,X,X,X,,X,,X,S,0001,ZSER,PC,Z001,MDG_BATCH,20181114,MDG_BATCH,20240224,
812,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,ZSER,KG,Z020,CB9980520010,20191215,CB9980520020,20250325,
100,ROH,Raw Material,E,03,M,,03,X,X,X,X,,X,,X,V,0003,,KG,Z030,MM_CUSTOM,20200116,MM_CUSTOM,20230426,
200,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,X,,,X,V,0004,SER1,EA,Z002,MDG_BATCH,20210217,MDG_BATCH,20240527,
300,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,PC,ZSRV,CB9980520010,20220318,CB9980520020,20250601,
400,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230419,MM_CUSTOM,20230702,
510,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,PC,Z001,MDG_BATCH,20240520,MDG_BATCH,20240803,
600,FERT,Finished Product,P,01,M,,01,,X,X,X,X,X,,X,S,0001,ZSER,CS,Z010,CB9980520010,20180621,CB9980520020,20250904,
700,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,SER1,M,Z002,MM_CUSTOM,20190722,MM_CUSTOM,20231005,
812,ROH,Raw Material,F,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,Z030,MDG_BATCH,20200823,MDG_BATCH,20241106,
100,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,,,X,X,V,0004,SER1,EA,Z002,CB9980520010,20210924,CB9980520020,20251207,
200,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,PC,ZSRV,MM_CUSTOM,20221025,MM_CUSTOM,20230108,
300,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20231126,MDG_BATCH,20240209,
400,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,,PC,ZMAT,CB9980520010,20241227,CB9980520020,20250310,
510,FERT,Finished Product,E,01,M,,01,,X,X,X,,X,,X,V,0001,SER1,PC,ZMAT,MM_CUSTOM,20180101,MM_CUSTOM,20230411,
600,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,S,0002,ZSER,EA,ZMAT,MDG_BATCH,20190202,MDG_BATCH,20240512,
700,ROH,Raw Material,D,03,M,,03,X,X,X,X,,X,,X,V,0003,,KG,Z030,CB9980520010,20200303,CB9980520020,20250613,
812,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,X,,X,X,V,0004,,PC,Z010,MM_CUSTOM,20210404,MM_CUSTOM,20230714,
100,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,PC,ZSRV,MDG_BATCH,20220505,MDG_BATCH,20240815,
