Client,Product,ProductDescription,Language,ProductType,BaseUnit,PurchaseOrderQuantityUnit,PreferredUnitOfMeasure,ProductGroup,ProductHierarchy,Division,IndustrySector,ItemCategoryGroup,CountryOfOrigin,NetWeight,GrossWeight,WeightUnit,MaterialVolume,VolumeUnit,ValidityStartDate,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,AuthorizationGroup,CrossPlantStatus,Brand,ProductManufacturerNumber,WarehouseProductGroup,WarehouseStorageCondition,ProcurementRule,IsMarkedForDeletion,IsBatchManagementRequired,ProductIsConfigurable,QltyMgmtInProcmtIsActive,QualityInspectionGroup,SerialNumberProfile,SizeOrDimensionText
510,000000005010976088,Servico de Transporte Standard 55B P001,EN,DIEN,EA,EA,EA,ZMAT,002006009008008008,30,A,LEER,GB,293.029,294.289,LB,1.676,CDM,20180625,CB9980520010,20220612,CB9980520020,20210514,M002,,PLBL,,WA01,Z1,,,,,,QP01,,
600,000000005010976225,Rolamento Reserva Tecnico 25A P002,PT,ERSA,G,G,G,ZSRV,003009001006003001,10,A,BANS,BR,107.827,130.949,KG,0.507,M3,20210928,MDG_USER08,20241121,CB9980520020,20260125,ZMM1,,ORGL,,WA01,02,,,,,,QP01,,
700,000000005010976362,Garrafa PET Flexivel 77D P003,EN,FERT,PAL,PAL,PAL,Z001,005003005007001003,30,A,LEER,US,390.972,391.553,KG,,,20220423,CB9980520010,20161221,MM_BATCH_03,20180314,M001,ZL,,,,,F,,,,,QP01,,
812,000000005010976499,Composto Quimico Premium 46D P004,DE,HALB,PAL,PAL,PAL,Z002,006003002002009001,10,L,VERP,DE,278.830,302.188,KG,0.154,CDM,20230403,CB9980520010,20220303,CB9980520020,20231130,,,PLBL,,,Z1,F,,,,X,,,
100,000000005010976636,Aco Carbono Automotivo 64C P001,FR,ROH,M,EA,M,Z010,004005001009005006,40,O,LEER,FR,409.782,441.800,KG,1.783,CDM,20211106,MDG_USER08,20140106,MDG_USER12,20180930,M002,ZL,,MFR-450912,,02,X,,,,X,,,
200,000000005010976773,Parafuso Galvanizado Baixa Densidade 34B,EN,HAWA,KG,EA,EA,Z020,008004004009004009,10,L,VERP,GB,57.797,62.226,KG,,,20181122,MDG_USER08,20190927,MM_BATCH_03,20170718,,01,0001,,WA02,04,X,,,,,,,
300,000000005010976910,Insumo de Apoio Standard 79A P003,PT,NLAG,M2,KG,M2,Z030,001009008006008003,00,P,NORM,BR,241.014,292.996,LB,1.567,M3,20250723,CB9980520010,20160930,CB9980520020,20231222,M001,,,,,,F,,,,,ZM01,,
400,000000005010977047,Servico de Inspecao Farmaceutico 99A P00,EN,DIEN,EA,EA,EA,ZMAT,007001004009008005,40,O,NORM,US,36.669,38.108,LB,1.119,L,20201001,MDG_USER08,20210523,MDG_USER12,20251030,M001,,0001,,WA02,,X,,,,X,QP01,,
510,000000005010977184,Sensor Reserva Automotivo 76A P001,DE,ERSA,M,EA,M,ZSRV,003009009006006001,30,A,VERP,DE,267.696,317.671,KG,1.427,CDM,20160522,MDG_USER08,20180402,MDG_USER12,20211109,ZMM1,,,MFR-692272,,04,,,,,,,,
600,000000005010977321,Componente Eletrico Industrial 47A P002,FR,FERT,EA,CS,CS,Z001,005003006002009001,30,C,LUMF,FR,251.727,,,,,20210606,CB9980520010,20250331,CB9980520020,20140605,ZMM1,02,,MFR-303770,,,X,,,,,,,
700,000000005010977458,Chapa de Aco Leve 62C P003,EN,HALB,PAL,CS,PAL,Z002,009009008002002005,00,L,VERP,GB,251.812,270.695,LB,,,20240430,MDG_USER08,20230128,MDG_USER12,20210407,,,,,WA02,Z1,X,,,,,,,
812,000000005010977595,Borracha Nitrilica Flexivel 27C P004,PT,ROH,G,EA,EA,Z010,006007001004008001,00,M,VERP,BR,351.016,393.606,KG,1.380,L,20240812,MM_BATCH_01,20151109,CB9980520020,20241104,ZMM1,ZL,,,,,,,,,,,,
100,000000005010977732,Adesivo Industrial Automotivo 54A P001,EN,HAWA,M,KG,KG,Z020,008005003007005009,00,L,BANS,US,395.551,473.664,LB,2.249,CDM,20231213,MM_BATCH_01,20220411,MDG_USER12,20161016,,02,,,WA02,,F,,,,,QP01,,466mm
200,000000005010977869,Material de Escritorio Flexivel 35D P002,DE,NLAG,M,KG,KG,Z030,005007004005009008,10,A,LUMF,DE,373.037,,,1.634,L,20230903,MM_BATCH_01,20240530,MM_BATCH_03,20200718,,,,MFR-811178,,04,F,,,X,X,ZM01,,
300,000000005010978006,Servico de Corte Alimenticio 76B P003,FR,DIEN,EA,EA,EA,ZMAT,007005005002002006,00,A,BANS,FR,31.878,,,,,20250829,CB9980520010,20171014,MDG_USER12,20191013,M001,02,,,WA02,Z1,X,,,,,,,
400,000000005010978143,Engrenagem Reserva Reforcado 92A P004,EN,ERSA,KG,KG,KG,ZSRV,007007007005009005,40,A,VERP,GB,321.421,375.519,KG,1.759,L,20230220,CB9980520010,20171106,CB9980520020,20220728,M001,,,,,,,,,,,QP01,,
510,000000005010978280,Bandeja de Aluminio Automotivo 04C P001,PT,FERT,PAL,PAL,PAL,Z001,001007004003004004,40,C,NORM,BR,48.581,,,,,20141203,CB9980520010,20181223,MM_BATCH_03,20240730,M001,ZL,,MFR-463818,,02,X,,,,,ZM01,,
600,000000005010978417,Painel Laminado Automotivo 33C P002,EN,HALB,PAL,PAL,PAL,Z002,003005006002001001,20,A,LEER,US,223.023,259.670,LB,,,20201226,MM_BATCH_01,20170206,MM_BATCH_03,20220905,ZMM1,01,,,WHSE,02,,,,X,X,,,
700,000000005010978554,Vidro Temperado Farmaceutico 09A P003,DE,ROH,M2,EA,EA,Z010,001001006004004007,20,C,VERP,DE,286.982,336.422,LB,1.296,M3,20161111,CB9980520010,20160409,MDG_USER12,20140618,ZMM1,,,,,02,X,,,,X,,,
812,000000005010978691,Papel Cartao Flexivel 06B P004,FR,HAWA,KG,KG,KG,Z020,009003003004007004,40,L,NORM,FR,246.287,302.487,KG,1.019,M3,20250727,MM_BATCH_01,20190415,CB9980520020,20210117,ZMM1,02,,,WHSE,02,,,,,,,,
100,000000005010978828,Etiqueta Adesiva Standard 55A P001,EN,NLAG,L,KG,L,Z030,001007008008009009,40,M,LEER,GB,8.721,8.929,KG,0.128,M3,20210911,MM_BATCH_01,20160730,MM_BATCH_03,20190505,,01,,,,Z1,F,,,,,,,
200,000000005010978965,Servico de Pintura Leve 76C P002,PT,DIEN,EA,EA,EA,ZMAT,005004003006004003,20,P,LEER,BR,254.640,269.722,KG,0.128,L,20140423,MDG_USER08,20200428,MDG_USER12,20240508,,ZL,,,,Z1,F,,,,,QP01,,
300,000000005010979102,Kit de Vedacao Tecnico 61C P003,EN,ERSA,EA,EA,EA,ZSRV,008007006007008001,20,L,LEER,US,48.439,,,,,20150914,MDG_USER08,20150515,MDG_USER12,20140813,,,,,,,,,,,,QP01,,
400,000000005010979239,Conector de Cobre Flexivel 04D P004,DE,FERT,PC,PC,PC,Z001,005002009008001002,00,L,VERP,DE,267.797,297.595,LB,1.182,M3,20160120,MM_BATCH_01,20250410,CB9980520020,20240210,M001,,ORGL,,WA02,,,,,,,,,
510,000000005010979376,Painel Laminado Reforcado 12A P001,FR,HALB,PC,PC,PC,Z002,006008005001005009,20,L,NORM,FR,89.561,107.777,G,0.070,M3,20140504,CB9980520010,20191005,MDG_USER12,20240305,M001,,ORGL,,WA02,Z1,F,,,,,,,
600,000000005010979513,Cobre Alta Densidade 23C P002,EN,ROH,M,KG,M,Z010,008008002009006002,10,P,LEER,GB,277.794,317.574,LB,2.160,CDM,20221206,CB9980520010,20190321,MM_BATCH_03,20240714,M002,ZL,,,WA01,04,,,,X,,,,
700,000000005010979650,Fita Tecnica Automotivo 69C P003,PT,HAWA,M,EA,EA,Z020,003008005005007002,30,L,BANS,BR,16.339,18.872,KG,2.007,M3,20220404,CB9980520010,20211220,CB9980520020,20160118,M001,,,,WHSE,04,X,,,,,ZM01,,209mm
812,000000005010979787,Material de Escritorio Automotivo 08C P0,EN,NLAG,M2,KG,M2,Z030,003004003006005002,00,C,VERP,US,186.962,232.625,LB,,,20210302,CB9980520010,20210126,CB9980520020,20251017,ZMM1,,,,,,,,,,,QP01,,
100,000000005010979924,Servico de Corte Industrial 48C P001,DE,DIEN,EA,EA,EA,ZMAT,008002005002002002,20,O,LEER,DE,268.761,297.156,LB,0.869,CDM,20231010,CB9980520010,20160301,MDG_USER12,20221129,M002,ZL,,,WHSE,,,,,,,ZM01,,485mm
200,000000005010980061,Kit de Vedacao Alimenticio 26B P002,FR,ERSA,EA,KG,KG,ZSRV,005004008005005001,10,C,BANS,FR,206.693,256.553,G,0.561,M3,20220829,MDG_USER08,20160216,CB9980520020,20190829,,,,,WA02,Z1,,,,,,,,
300,000000005010980198,Garrafa PET Alta Densidade 03C P003,EN,FERT,PAL,EA,PAL,Z001,004005009005005003,10,C,LEER,GB,305.942,307.811,LB,0.757,L,20140301,MM_BATCH_01,20230927,CB9980520020,20211016,,01,,MFR-637337,,02,,,,,,QP01,,
400,000000005010980335,Perfil Metalico Alimenticio 44B P004,PT,HALB,PAL,CS,CS,Z002,007007007001007004,40,O,VERP,BR,102.764,122.961,KG,0.532,L,20150409,MDG_USER08,20200130,MDG_USER12,20150213,M001,ZL,,MFR-211073,WA02,02,,,X,,,,,
510,000000005010980472,Borracha Nitrilica Alimenticio 03A P001,EN,ROH,KG,EA,KG,Z010,003007002005007001,00,M,VERP,US,207.093,225.545,KG,1.693,L,20170404,CB9980520010,20170702,MM_BATCH_03,20200109,,ZL,ZBRN,MFR-563662,WA01,,F,,,,,,,318mm
600,000000005010980609,Filtro de Ar Leve 67B P002,DE,HAWA,M2,EA,M2,Z020,003004001002002008,40,P,LUMF,DE,308.236,,,1.058,L,20251030,MM_BATCH_01,20231110,MDG_USER12,20170309,,02,PLBL,MFR-718181,WA02,Z1,X,,,,,,,
700,000000005010980746,Caixa Arquivo Automotivo 02A P003,FR,NLAG,L,KG,L,Z030,006004001003002008,30,A,LEER,FR,278.850,311.948,KG,2.165,M3,20170123,MM_BATCH_01,20190219,MDG_USER12,20160815,ZMM1,,,,,Z1,,,,,,,,
812,000000005010980883,Servico de Montagem Leve 20C P004,EN,DIEN,EA,EA,EA,ZMAT,006005003008001008,20,L,LUMF,GB,116.160,116.918,LB,1.050,M3,20211116,CB9980520010,20160216,CB9980520020,20180913,,,ZBRN,MFR-688746,,Z1,,,,,,ZM01,,
100,000000005010981020,Kit de Vedacao Premium 24A P001,PT,ERSA,M,M,M,ZSRV,005007005001002003,10,C,NORM,BR,91.103,98.639,KG,,,20170119,MM_BATCH_01,20250809,MM_BATCH_03,20140927,ZMM1,,,MFR-846946,,02,X,,,,X,ZM01,,
200,000000005010981157,Caixa de Papel Flexivel 69D P002,EN,FERT,PC,PC,PC,Z001,007007008006003006,40,M,NORM,US,139.452,161.166,G,0.936,CDM,20160615,CB9980520010,20180929,MM_BATCH_03,20151120,ZMM1,ZL,ORGL,,WA02,02,X,,X,,,QP01,,
300,000000005010981294,Placa de Polimero Reforcado 03B P003,DE,HALB,PC,PC,PC,Z002,002002005005002002,30,O,BANS,DE,198.810,240.105,G,0.351,CDM,20150410,MM_BATCH_01,20250927,CB9980520020,20250528,,,PLBL,MFR-875582,,02,X,,X,,X,,SERI,
400,000000005010981431,Aco Inox Premium 81A P004,FR,ROH,EA,EA,EA,Z010,002005003003006006,10,P,NORM,FR,295.958,358.242,KG,,,20150305,CB9980520010,20210401,MM_BATCH_03,20150408,M002,,ZBRN,MFR-473495,WA02,,,,,,,ZM01,,
510,000000005010981568,Parafuso Galvanizado Reforcado 05D P001,EN,HAWA,L,L,L,Z020,007007004002003003,00,L,LEER,GB,79.618,97.446,KG,,,20160526,MDG_USER08,20160914,MM_BATCH_03,20180512,,,ZBRN,,WHSE,02,F,,,X,X,,,
600,000000005010981705,Papel Sulfite Reforcado 85D P002,PT,NLAG,G,EA,G,Z030,001005009001004005,40,P,BANS,BR,298.735,324.758,KG,1.039,L,20240613,MM_BATCH_01,20210507,MM_BATCH_03,20191223,ZMM1,01,,,WHSE,04,,,,,,ZM01,,203mm
700,000000005010981842,Servico de Inspecao Premium 22B P003,EN,DIEN,EA,EA,EA,ZMAT,007003001003004004,00,L,LEER,US,278.357,284.407,G,2.059,L,20150501,MDG_USER08,20200629,MDG_USER12,20201210,,,PLBL,,,02,X,,,,,,,
812,000000005010981979,Kit de Vedacao Alta Densidade 92C P004,DE,ERSA,L,EA,EA,ZSRV,002008005004005002,20,P,LEER,DE,10.997,12.607,KG,1.518,M3,20170528,CB9980520010,20210213,MM_BATCH_03,20250323,ZMM1,ZL,,MFR-657225,WHSE,04,X,,,,,,,
100,000000005010982116,Componente Eletrico Flexivel 81D P001,FR,FERT,CS,CS,CS,Z001,008006009004009006,40,L,NORM,FR,311.157,383.103,KG,0.264,M3,20210325,MM_BATCH_01,20200507,MDG_USER12,20240805,M001,01,ORGL,MFR-257904,,Z1,,,,,,ZM01,,
200,000000005010982253,Filme Plastico Alimenticio 38B P002,EN,HALB,CS,CS,CS,Z002,003001009007001004,20,P,LUMF,GB,252.393,283.369,KG,1.291,CDM,20191002,CB9980520010,20181109,CB9980520020,20160316,ZMM1,,,,,02,F,,,,,ZM01,,
300,000000005010982390,Papel Kraft Premium 28A P003,PT,ROH,EA,KG,KG,Z010,004005002004001006,20,M,LUMF,BR,222.650,,,2.490,M3,20160620,CB9980520010,20210918,MDG_USER12,20171129,ZMM1,,,MFR-972701,WHSE,,X,,,,,,,244mm
400,000000005010982527,Parafuso Galvanizado Baixa Densidade 84D,EN,HAWA,L,EA,L,Z020,006006007001007001,40,O,LEER,US,135.265,148.110,KG,1.332,CDM,20190915,MDG_USER08,20140902,MDG_USER12,20141011,,,,MFR-494925,,04,,,,,,,,
510,000000005010982664,Caixa Arquivo Reforcado 50D P001,DE,NLAG,M2,KG,KG,Z030,006005002009001001,30,C,LEER,DE,68.827,,,1.210,M3,20190209,MDG_USER08,20210903,MM_BATCH_03,20171004,M001,,,MFR-156254,WHSE,04,,X,,X,,ZM01,,
600,000000005010982801,Servico de Transporte Alimenticio 96D P0,FR,DIEN,EA,EA,EA,ZMAT,006009005005006003,30,C,BANS,FR,282.068,316.919,KG,,,20201223,MDG_USER08,20140324,CB9980520020,20231017,M002,,,MFR-852812,WA01,02,X,,,,,,,
700,000000005010982938,Kit de Vedacao Flexivel 04C P003,EN,ERSA,EA,EA,EA,ZSRV,001007004002007003,30,C,BANS,GB,286.201,,,0.259,CDM,20260323,MDG_USER08,20190907,MDG_USER12,20181224,,,ZBRN,,WA02,02,,,,,X,,,
812,000000005010983075,Kit de Montagem Leve 72C P004,PT,FERT,PAL,EA,EA,Z001,001009009003001008,30,L,BANS,BR,384.959,406.634,G,0.744,M3,20210331,MDG_USER08,20161029,MM_BATCH_03,20250416,M001,01,,MFR-182367,WA02,04,X,,,,,,,
100,000000005010983212,Chapa de Aco Automotivo 95B P001,EN,HALB,PC,PC,PC,Z002,006009008002002005,20,M,VERP,US,393.459,,,2.250,L,20170215,CB9980520010,20201105,CB9980520020,20160107,,,,MFR-954786,WA01,,,,,,,,,
200,000000005010983349,Aco Inox Baixa Densidade 16D P002,DE,ROH,G,KG,KG,Z010,008008006008005003,00,M,BANS,DE,381.817,465.330,KG,,,20190510,CB9980520010,20250526,CB9980520020,20140414,M002,,,,,Z1,,,,,,QP01,,298mm
300,000000005010983486,Conector Universal Automotivo 14C P003,FR,HAWA,EA,EA,EA,Z020,004008003005003009,40,O,VERP,FR,155.037,180.365,LB,0.768,M3,20260417,MM_BATCH_01,20180412,CB9980520020,20180818,,ZL,,MFR-306283,WHSE,Z1,,,,,,,,
400,000000005010983623,Caixa Arquivo Leve 31C P004,EN,NLAG,L,EA,EA,Z030,005007009005006009,30,C,BANS,GB,94.795,108.552,KG,,,20201205,MDG_USER08,20220503,CB9980520020,20151221,M002,01,,,WA01,02,F,,,,,ZM01,,
510,000000005010983760,Servico de Transporte Reforcado 84D P001,PT,DIEN,EA,EA,EA,ZMAT,005002001009006009,20,P,LEER,BR,110.531,133.807,KG,0.237,L,20160419,MM_BATCH_01,20140107,MM_BATCH_03,20250119,ZMM1,01,,MFR-530375,WA02,04,,,,,X,ZM01,,
600,000000005010983897,Chave de Manutencao Reforcado 40A P002,EN,ERSA,EA,EA,EA,ZSRV,001007005007002003,20,O,NORM,US,326.853,350.498,LB,0.179,CDM,20220319,MDG_USER08,20210603,MM_BATCH_03,20141130,M002,,,,,02,,,,,,,,
700,000000005010984034,Embalagem Plastica Leve 47A P003,DE,FERT,EA,EA,EA,Z001,009003009006009001,30,A,BANS,DE,318.452,358.565,KG,1.104,CDM,20200120,CB9980520010,20200417,CB9980520020,20141122,ZMM1,,0001,,WHSE,Z1,,,,,,,,416mm
812,000000005010984171,Tubo de Aluminio Tecnico 57D P004,FR,HALB,EA,EA,EA,Z002,008003007004009009,20,P,NORM,FR,244.096,283.613,LB,,,20200409,MDG_USER08,20160515,CB9980520020,20140907,M001,01,0001,MFR-983354,,04,X,,,,X,ZM01,,
100,000000005010984308,Aluminio Reforcado 12A P001,EN,ROH,KG,KG,KG,Z010,005006009002008004,40,O,NORM,GB,277.828,295.656,KG,1.485,CDM,20230911,MM_BATCH_01,20150113,MM_BATCH_03,20220824,M002,,,,,02,X,,,,,ZM01,,
200,000000005010984445,Valvula de Metal Industrial 22A P002,PT,HAWA,M,M,M,Z020,006005008001009006,10,M,LEER,BR,97.704,110.061,LB,,,20220621,MDG_USER08,20251220,MM_BATCH_03,20211125,ZMM1,01,,MFR-399309,,04,X,,,,X,ZM01,,317mm
300,000000005010984582,Pano de Limpeza Reforcado 20A P003,EN,NLAG,G,EA,EA,Z030,003005001004008005,20,O,BANS,US,341.045,356.953,KG,,,20171214,CB9980520010,20171001,MM_BATCH_03,20201229,M001,,ZBX1,MFR-380883,,04,X,,,,,QP01,,369mm
400,000000005010984719,Servico de Transporte Premium 68D P004,DE,DIEN,EA,EA,EA,ZMAT,005002001007003008,10,O,LEER,DE,358.487,395.720,G,1.605,CDM,20170927,MDG_USER08,20190411,MM_BATCH_03,20230408,M001,02,,MFR-393660,WA02,Z1,X,,,,,ZM01,,86mm
510,000000005010984856,Sensor Reserva Baixa Densidade 08A P001,FR,ERSA,M2,M2,M2,ZSRV,004008003005009007,20,O,LUMF,FR,103.444,120.639,LB,,,20150809,MDG_USER08,20150328,MDG_USER12,20240921,M002,,0001,MFR-404630,WA02,Z1,X,,,,X,,,
600,000000005010984993,Componente Eletrico Farmaceutico 91C P00,EN,FERT,PAL,CS,PAL,Z001,008003001006001008,40,P,NORM,GB,195.683,240.223,G,0.299,CDM,20150502,MDG_USER08,20200824,MDG_USER12,20240905,M001,ZL,,,,Z1,,,,,X,ZM01,,
700,000000005010985130,Placa de Polimero Leve 20A P003,PT,HALB,EA,EA,EA,Z002,004002006007009001,40,A,LEER,BR,172.000,201.218,KG,0.253,CDM,20200211,MDG_USER08,20171101,MDG_USER12,20180628,ZMM1,02,ZBRN,MFR-801815,,,,,,,,ZM01,,430mm
812,000000005010985267,Polipropileno Premium 67D P004,EN,ROH,G,KG,KG,Z010,005008006003003004,40,O,LEER,US,238.954,292.481,KG,1.571,CDM,20160921,MDG_USER08,20230430,MM_BATCH_03,20150330,,,,,,04,F,,X,X,,,,
100,000000005010985404,Parafuso Galvanizado Industrial 29C P001,DE,HAWA,EA,EA,EA,Z020,004007006001009005,20,P,LUMF,DE,311.710,372.280,KG,,,20200618,MM_BATCH_01,20170324,MM_BATCH_03,20141117,,,ORGL,MFR-998559,WA02,Z1,X,,,,X,,,
200,000000005010985541,Insumo de Apoio Alimenticio 20C P002,FR,NLAG,M,M,M,Z030,003008004006002002,40,C,NORM,FR,267.925,294.821,G,0.346,L,20180303,CB9980520010,20201030,MM_BATCH_03,20210319,,ZL,ZBRN,MFR-754267,,02,,,,,,,,
300,000000005010985678,Servico de Embalagem Automotivo 62B P003,EN,DIEN,EA,EA,EA,ZMAT,001009008006008005,30,P,LEER,GB,188.325,,,0.447,CDM,20210502,CB9980520010,20250309,MDG_USER12,20211011,,,ORGL,,,Z1,,,,,X,,,
400,000000005010985815,Engrenagem Reserva Automotivo 87C P004,PT,ERSA,KG,EA,KG,ZSRV,006003007004009007,10,C,VERP,BR,193.644,218.444,KG,0.797,M3,20220713,CB9980520010,20180829,MDG_USER12,20220414,M002,02,,MFR-201595,,04,,,,,,,,
510,000000005010985952,Embalagem Plastica Alta Densidade 59A P0,EN,FERT,EA,EA,EA,Z001,004008008007009002,30,L,NORM,US,379.661,,,2.479,M3,20220208,MDG_USER08,20140112,MM_BATCH_03,20190209,M002,,,,,02,F,,,,,QP01,,148mm
600,000000005010986089,Filme Plastico Leve 13C P002,DE,HALB,PAL,PAL,PAL,Z002,008005004003004006,30,O,BANS,DE,7.914,8.415,G,0.853,CDM,20230102,CB9980520010,20221006,MM_BATCH_03,20150315,ZMM1,,ORGL,,WA01,Z1,X,,,,,ZM01,,
700,000000005010986226,Granulado PVC Automotivo 19D P003,FR,ROH,M2,M2,M2,Z010,008003008002004006,00,C,BANS,FR,277.184,280.881,LB,2.210,M3,20171211,CB9980520010,20200105,CB9980520020,20240728,M002,02,0001,,,Z1,X,,,,,,,405mm
812,000000005010986363,Filtro de Ar Alta Densidade 24C P004,EN,HAWA,EA,KG,EA,Z020,002002002005003005,00,P,NORM,GB,280.530,,,1.223,M3,20250103,MDG_USER08,20221029,MDG_USER12,20220709,ZMM1,02,,,WHSE,Z1,,,,,,ZM01,,
100,000000005010986500,Insumo de Apoio Farmaceutico 24D P001,PT,NLAG,G,EA,EA,Z030,007002009005004005,40,M,NORM,BR,405.433,497.616,KG,0.602,M3,20230210,MDG_USER08,20200422,MM_BATCH_03,20230922,ZMM1,ZL,,,WA01,,F,,,,X,QP01,,
200,000000005010986637,Servico de Transporte Flexivel 86D P002,EN,DIEN,EA,EA,EA,ZMAT,006004008008008005,00,L,LEER,US,239.418,253.902,G,0.565,L,20171205,MDG_USER08,20150310,CB9980520020,20240913,M001,ZL,,,,Z1,F,,,,,QP01,,
300,000000005010986774,Rolamento Reserva Industrial 29D P003,DE,ERSA,EA,EA,EA,ZSRV,005006006009003002,00,C,NORM,DE,136.524,,,0.086,L,20220530,CB9980520010,20220529,MDG_USER12,20260228,M002,ZL,0001,,WA02,,X,,,,,ZM01,,90mm
400,000000005010986911,Garrafa PET Automotivo 34D P004,FR,FERT,CS,CS,CS,Z001,004001007003007009,30,M,BANS,FR,369.008,375.084,G,1.704,M3,20230130,CB9980520010,20190510,MDG_USER12,20240108,,,0001,MFR-179689,,02,,,,,,ZM01,,
510,000000005010987048,Tubo de Aluminio Automotivo 72B P001,EN,HALB,PC,PC,PC,Z002,007001001005005009,00,C,LUMF,GB,177.835,220.780,G,,,20160116,CB9980520010,20240114,MM_BATCH_03,20170906,M001,ZL,PLBL,,,02,,,,,,,,
600,000000005010987185,Polipropileno Flexivel 45C P002,PT,ROH,G,EA,G,Z010,006003003003006006,00,P,NORM,BR,120.403,143.813,KG,,,20240921,CB9980520010,20250412,MDG_USER12,20250606,,,,MFR-351892,,02,,,,,,QP01,,
700,000000005010987322,Papel Cartao Automotivo 16C P003,EN,HAWA,EA,KG,KG,Z020,004005007004009004,00,A,LUMF,US,113.748,138.573,G,0.614,M3,20160501,MDG_USER08,20160726,MM_BATCH_03,20170124,M002,ZL,ZBRN,,WHSE,,X,,,,,,,
812,000000005010987459,Material de Escritorio Baixa Densidade 4,DE,NLAG,G,KG,KG,Z030,008005008008005002,00,L,LUMF,DE,155.867,186.523,KG,1.334,M3,20170728,MM_BATCH_01,20160508,MM_BATCH_03,20250205,,01,,MFR-833986,WA02,04,X,,,,,ZM01,,
100,000000005010987596,Servico de Pintura Leve 26D P001,FR,DIEN,EA,EA,EA,ZMAT,001008007002008007,20,M,LEER,FR,249.966,,,1.839,M3,20250131,MDG_USER08,20210513,CB9980520020,20241223,ZMM1,01,0001,,WHSE,,,,,,,,,
200,000000005010987733,Sensor Reserva Leve 60C P002,EN,ERSA,G,EA,EA,ZSRV,001004005004003005,40,O,VERP,GB,96.278,110.654,KG,1.384,M3,20170911,CB9980520010,20250926,CB9980520020,20201229,ZMM1,02,PLBL,,,,,,,,X,ZM01,,
300,000000005010987870,Caderno Corporativo Tecnico 32D P003,PT,FERT,CS,CS,CS,Z001,009002009001008006,40,L,BANS,BR,172.956,,,1.006,CDM,20240823,MM_BATCH_01,20150405,MDG_USER12,20181210,M001,01,,,,Z1,,,,,X,ZM01,,
400,000000005010988007,Tubo de Aluminio Flexivel 28A P004,EN,HALB,CS,CS,CS,Z002,005001001009001009,00,P,LUMF,US,151.324,,,,,20190922,MDG_USER08,20171201,MM_BATCH_03,20230723,,02,ORGL,,WHSE,Z1,F,,,,,,,386mm
510,000000005010988144,Tecido Tecnico Premium 46B P001,DE,ROH,EA,EA,EA,Z010,001002006007009002,10,O,LEER,DE,287.679,346.213,KG,2.154,M3,20160128,MDG_USER08,20220306,MDG_USER12,20140301,M002,,,,WA01,Z1,F,,,,,,,
600,000000005010988281,Papel Cartao Alta Densidade 62D P002,FR,HAWA,KG,KG,KG,Z020,002009007009008008,00,P,LUMF,FR,46.697,47.492,KG,1.235,CDM,20230109,MDG_USER08,20160801,MDG_USER12,20230630,ZMM1,01,,,,04,X,,,,,QP01,,
700,000000005010988418,Material de Escritorio Baixa Densidade 8,EN,NLAG,EA,EA,EA,Z030,005006007008006009,40,L,LUMF,GB,407.954,,,2.195,L,20170411,MDG_USER08,20250822,CB9980520020,20180923,M002,02,,,WA01,04,,,,,,ZM01,,
812,000000005010988555,Servico de Transporte Reforcado 26B P004,PT,DIEN,EA,EA,EA,ZMAT,004003006004006004,30,P,NORM,BR,69.379,73.576,KG,,,20150511,MDG_USER08,20180326,MM_BATCH_03,20190820,ZMM1,,,,,Z1,F,,,,,,,
100,000000005010988692,Kit de Vedacao Farmaceutico 01B P001,EN,ERSA,L,EA,L,ZSRV,004007003007002004,30,L,LEER,US,92.546,95.383,KG,2.301,L,20191218,CB9980520010,20240825,MDG_USER12,20221009,M001,,PLBL,MFR-436775,,,F,,,X,X,ZM01,,
200,000000005010988829,Suporte de Aco Industrial 37C P002,DE,FERT,PAL,PAL,PAL,Z001,008001009006009005,20,P,LEER,DE,304.096,326.257,LB,1.756,M3,20160930,MM_BATCH_01,20240812,MDG_USER12,20180523,M001,,,,WA01,02,X,,,,,,,130mm
300,000000005010988966,Chapa de Aco Industrial 21A P003,FR,HALB,PC,CS,PC,Z002,008009008007005008,00,M,NORM,FR,280.343,305.974,LB,1.780,L,20230619,MDG_USER08,20201015,CB9980520020,20140811,,,,,WHSE,04,X,,,,,,,
400,000000005010989103,Resina Epoxi Baixa Densidade 68C P004,EN,ROH,KG,EA,KG,Z010,008003008003003005,30,M,VERP,GB,45.222,48.855,KG,0.697,CDM,20151219,MDG_USER08,20141029,CB9980520020,20221204,M001,01,,,,Z1,,,,,X,ZM01,,
510,000000005010989240,Rolamento Leve 66B P001,PT,HAWA,M2,M2,M2,Z020,001007001008005003,20,L,LUMF,BR,158.461,,,0.694,CDM,20140202,CB9980520010,20140331,CB9980520020,20151211,M001,02,ZBRN,MFR-915525,,,X,,,,,,,
600,000000005010989377,Insumo de Apoio Industrial 80C P002,EN,NLAG,L,KG,L,Z030,004008009007004006,20,O,BANS,US,27.685,30.707,KG,0.347,M3,20190329,MDG_USER08,20150616,MM_BATCH_03,20220121,,,ORGL,,WA01,Z1,X,,,,X,,,
